Token Number,Rates,length,index_in_dataset,occurrence_number,device
19149,[0.371428571.],13264,137,2,cpu
18186,[0.371428571.],12667,136,2,cpu
15273,[0.485714286.],11398,143,2,disk
14493,[0.485714286.],9898,150,2,disk
10509,[0.485714286.],7370,89,2,disk
10490,[0.485714286.],7720,195,2,disk
12123,[0.485714286.],9019,183,2,disk
20085,[0.371428571.],14340,38,2,cpu
16354,[0.485714286.],11970,117,2,cpu
11435,[0.485714286.],8462,23,2,disk
10206,[0.371428571.],7081,11,2,cpu
13441,[0.485714286.],9364,147,2,disk
6571,[0.371428571.],4660,133,2,cpu
15461,[0.485714286.],11276,185,2,disk
0,[],2262,28,2,
15738,[0.485714286.],12023,146,2,cpu
16458,[0.485714286.],11900,198,2,cpu
14724,[0.485714286.],10145,123,2,disk
20980,[0.371428571.],14334,3,2,cpu
18679,[0.371428571.],13004,102,2,cpu
6255,[0.485714286.],4374,154,2,disk
15871,[0.485714286.],10454,163,2,cpu
18503,[0.371428571.],13129,171,2,cpu
7190,[0.371428571.],5174,87,2,cpu
13368,[0.371428571.],9673,124,2,cpu
12950,[0.371428571.],9123,177,2,cpu
19739,[0.371428571.],13765,153,2,cpu
16341,[0.485714286.],12038,96,2,cpu
0,[],2258,83,2,
11976,[0.485714286.],8149,67,2,disk
16380,[0.485714286.],11675,92,2,cpu
16377,[0.485714286.],11935,2,2,cpu
6397,[0.485714286.],3777,199,2,disk
9183,[0.371428571.],6191,134,2,cpu
4993,[0.485714286.],3647,150,2,disk
20881,[0.371428571.],14158,140,2,cpu
21044,[0.371428571.],14656,77,2,cpu
0,[],1742,125,2,
11800,[0.485714286.],8413,125,2,disk
9244,[0.371428571.],6710,22,2,cpu
14134,[0.371428571.],10094,192,2,cpu
15936,[0.485714286.],11381,11,2,cpu
12587,[0.371428571.],8784,99,2,cpu
16092,[0.485714286.],11865,38,2,cpu
15560,[0.485714286.],10968,112,2,cpu
16083,[0.485714286.],11424,86,2,cpu
6454,[0.485714286.],4556,136,2,disk
21000,[0.371428571.],14752,168,2,cpu
16283,[0.485714286.],11759,179,2,cpu
14767,[0.371428571.],10200,82,2,cpu
16324,[0.485714286.],12544,144,2,cpu
14182,[0.485714286.],11168,122,2,disk
11320,[0.371428571.],7788,179,2,cpu
9812,[0.371428571.],6854,162,2,cpu
16196,[0.371428571.],11294,53,2,cpu
0,[],1078,129,2,
20767,[0.371428571.],14045,127,2,cpu
15679,[0.485714286.],10535,164,2,cpu
7887,[0.485714286.],5487,127,2,disk
9836,[0.371428571.],6891,154,2,cpu
0,[],2412,197,2,
14292,[0.371428571.],9122,34,2,cpu
0,[],2522,42,2,
11831,[0.371428571.],7768,4,2,cpu
9383,[0.371428571.],6286,184,2,cpu
10123,[0.371428571.],6644,122,2,cpu
15042,[0.485714286.],10589,65,2,disk
8848,[0.485714286.],6337,133,2,disk
10316,[0.371428571.],7192,160,2,cpu
16013,[0.485714286.],11812,95,2,cpu
17801,[0.371428571.],12947,96,2,cpu
