Token Number,Rates,length,index_in_dataset,occurrence_number,device
17794,[0.371428571.],13883,18,2,disk
0,[],13883,95,1,
9792,[0.371428571.],6733,74,2,disk
0,[],10510,51,1,
15049,[0.371428571.],10326,186,2,disk
6794,[0.371428571.],5349,153,2,disk
0,[],3209,40,1,
26198,[0.371428571.],19653,19,2,disk
4006,[0.371428571.],2756,39,2,disk
0,[],1734,98,1,
0,[],12339,178,1,
5284,[0.371428571.],3242,131,2,disk
10070,[0.371428571.],7344,66,2,disk
0,[],2017,104,1,
0,[],10200,41,1,
26199,[0.371428571.],19654,145,2,disk
15082,[0.371428571.],10251,97,2,disk
13907,[0.371428571.],9352,65,2,disk
0,[],3916,110,1,
18473,[0.371428571.],14016,109,2,disk
0,[],11372,6,1,
6781,[0.371428571.],5336,16,2,disk
0,[],2483,54,1,
0,[],6253,131,1,
12587,[0.371428571.],9196,137,2,disk
14141,[0.371428571.],9637,92,2,disk
0,[],12646,4,1,
2942,[0.371428571.],1909,155,2,disk
0,[],11138,56,1,
0,[],5004,158,1,
0,[],6954,100,1,
0,[],6884,26,1,
0,[],10032,141,1,
16267,[0.371428571.],11154,20,2,disk
0,[],8785,13,1,
10636,[0.371428571.],7157,151,2,disk
3818,[0.371428571.],2519,85,2,disk
0,[],12339,171,1,
13752,[0.371428571.],9070,132,2,disk
4755,[0.371428571.],3135,58,2,disk
0,[],10511,98,1,
6674,[0.371428571.],4805,177,2,disk
11632,[0.371428571.],7843,45,2,disk
0,[],6750,15,1,
10430,[0.371428571.],7032,147,2,disk
12789,[0.371428571.],10213,175,2,disk
13058,[0.371428571.],9381,24,2,disk
13413,[0.371428571.],9216,149,2,disk
16706,[0.371428571.],11405,81,2,disk
0,[],8483,61,1,
12584,[0.371428571.],9193,139,2,disk
18473,[0.371428571.],14016,157,2,disk
0,[],8488,47,1,
0,[],13885,32,1,
9357,[0.371428571.],6376,91,2,disk
0,[],5696,112,1,
0,[],24580,27,1,
0,[],3776,30,1,
0,[],6406,0,1,
0,[],6790,67,1,
0,[],8932,156,1,
18647,[0.371428571.],15412,79,2,disk
5628,[0.371428571.],3980,167,2,disk
10068,[0.371428571.],7342,60,2,disk
0,[],2448,60,1,
0,[],7008,88,1,
30043,[0.371428571.],23785,119,2,disk
17013,[0.371428571.],12802,17,2,disk
0,[],8851,100,1,
0,[],23789,64,1,
0,[],6032,128,1,
0,[],23784,135,1,
0,[],13866,62,1,
0,[],3979,8,1,
0,[],10673,138,1,
0,[],9980,170,1,
0,[],6954,162,1,
18644,[0.371428571.],15409,196,2,disk
0,[],6957,14,1,
0,[],4751,156,1,
0,[],10497,166,1,
0,[],3976,40,1,
8606,[0.371428571.],5775,187,2,disk
14458,[0.371428571.],9666,18,2,disk
0,[],11070,123,1,
6785,[0.371428571.],5340,59,2,disk
12735,[0.371428571.],8726,111,2,disk
25477,[0.371428571.],20279,81,2,disk
25467,[0.371428571.],20271,155,2,disk
4991,[0.371428571.],3446,124,2,disk
0,[],3141,16,1,
0,[],10434,79,1,
10957,[0.371428571.],8489,36,2,disk
0,[],6607,146,1,
0,[],8710,36,1,
0,[],11240,7,1,
13045,[0.371428571.],9366,111,2,disk
12780,[0.371428571.],10201,194,2,disk
0,[],3507,12,1,
0,[],12252,95,1,
0,[],9891,164,1,
0,[],10130,51,1,
8214,[0.371428571.],5587,107,2,disk
0,[],3741,190,1,
0,[],1918,165,1,
0,[],2161,103,1,
15900,[0.371428571.],11886,10,2,disk
0,[],1794,1,1,
0,[],936,69,1,
0,[],3234,190,1,
0,[],4694,109,1,
0,[],11169,43,1,
15401,[0.371428571.],11310,103,2,disk
0,[],11310,161,1,
0,[],2154,17,1,
0,[],10777,59,1,
0,[],8486,105,1,
13405,[0.371428571.],8556,150,2,disk
0,[],6394,53,1,
9536,[0.371428571.],6465,28,2,disk
0,[],15403,80,1,
0,[],7881,1,1,
0,[],9574,5,1,
0,[],7341,49,1,
12171,[0.371428571.],8979,144,2,disk
6676,[0.371428571.],4807,165,2,disk
15900,[0.371428571.],11886,97,2,disk
0,[],12342,34,1,
0,[],3974,91,1,
4212,[0.371428571.],2808,175,2,disk
0,[],9123,64,1,
7923,[0.371428571.],5382,163,2,disk
0,[],10674,13,1,
0,[],5874,63,1,
4725,[0.371428571.],3237,75,2,disk
0,[],1220,41,1,
0,[],3380,139,1,
0,[],7136,145,1,
0,[],6386,52,1,
8295,[0.371428571.],6037,192,2,disk
0,[],2148,115,1,
12939,[0.371428571.],8729,84,2,disk
0,[],13868,88,1,
0,[],5832,73,1,
3385,[0.371428571.],2292,116,2,disk
0,[],24579,166,1,
0,[],3082,128,1,
0,[],6053,193,1,
18085,[0.371428571.],12184,29,2,disk
0,[],7870,134,1,
15897,[0.371428571.],11881,143,2,disk
17796,[0.371428571.],13883,198,2,disk
0,[],3539,106,1,
8285,[0.371428571.],6026,96,2,disk
11618,[0.371428571.],7689,8,2,disk
0,[],4339,119,1,
0,[],3938,183,1,
8313,[0.371428571.],5523,198,2,disk
0,[],10675,54,1,
0,[],10366,43,1,
12562,[0.371428571.],8528,133,2,disk
0,[],12328,50,1,
0,[],3980,174,1,
0,[],20275,189,1,
0,[],6960,58,1,
0,[],6395,48,1,
12588,[0.371428571.],9196,168,2,disk
0,[],4802,187,1,
13053,[0.371428571.],9375,68,2,disk
0,[],11366,197,1,
0,[],11178,169,1,
0,[],6914,144,1,
18644,[0.371428571.],15409,6,2,disk
0,[],9804,35,1,
25469,[0.371428571.],20272,123,2,disk
5338,[0.371428571.],3613,177,2,disk
0,[],9449,52,1,
16668,[0.371428571.],11317,140,2,disk
15755,[0.371428571.],10618,126,2,disk
0,[],3928,113,1,
0,[],8563,21,1,
6678,[0.371428571.],4809,163,2,disk
4828,[0.371428571.],3170,19,2,disk
0,[],20271,160,1,
12177,[0.371428571.],8423,38,2,disk
3003,[0.371428571.],1985,171,2,disk
0,[],9464,76,1,
0,[],6385,191,1,
0,[],3878,143,1,
0,[],6247,93,1,
10121,[0.371428571.],6846,102,2,disk
3320,[0.371428571.],2227,86,2,disk
25467,[0.371428571.],20271,89,2,disk
13412,[0.371428571.],8565,92,2,disk
2978,[0.371428571.],2027,136,2,disk
6231,[0.371428571.],4173,83,2,disk
0,[],5308,108,1,
0,[],5985,149,1,
0,[],1415,57,1,
30489,[0.371428571.],24580,182,2,disk
9393,[0.371428571.],6275,153,2,disk
0,[],9197,130,1,
0,[],11176,151,1,
10066,[0.371428571.],7338,195,2,disk
10364,[0.371428571.],7127,99,2,disk
0,[],2904,159,1,
5839,[0.371428571.],3931,125,2,disk
18645,[0.371428571.],15408,125,2,disk
17782,[0.371428571.],13870,69,2,disk
0,[],10663,99,1,
10959,[0.371428571.],8491,147,2,disk
0,[],7209,172,1,
0,[],20273,87,1,
8161,[0.371428571.],5977,67,2,disk
12784,[0.371428571.],10208,122,2,disk
9666,[0.371428571.],6422,134,2,disk
10072,[0.371428571.],7346,183,2,disk
0,[],2343,130,1,
0,[],7565,14,1,
0,[],10784,199,1,
0,[],8560,121,1,
8433,[0.371428571.],5623,3,2,disk
0,[],12785,20,1,
0,[],6956,188,1,
0,[],12335,71,1,
17239,[0.371428571.],11695,117,2,disk
10503,[0.371428571.],7046,154,2,disk
4130,[0.371428571.],2858,184,2,disk
6020,[0.371428571.],4754,86,2,disk
17781,[0.371428571.],13869,136,2,disk
0,[],7481,70,1,
0,[],10499,106,1,
0,[],11799,148,1,
0,[],4765,102,1,
10064,[0.371428571.],7338,11,2,disk
10277,[0.371428571.],7882,23,2,disk
25477,[0.371428571.],20281,146,2,disk
18647,[0.371428571.],15412,185,2,disk
16934,[0.371428571.],12786,37,2,disk
11317,[0.371428571.],8191,154,2,disk
8062,[0.371428571.],5492,192,2,disk
15710,[0.371428571.],11171,129,2,disk
10150,[0.371428571.],6961,38,2,disk
5488,[0.371428571.],3617,168,2,disk
14227,[0.371428571.],9769,127,2,disk
3352,[0.371428571.],2223,22,2,disk
16175,[0.371428571.],10898,178,2,disk
9351,[0.371428571.],6381,197,2,disk
9723,[0.371428571.],6582,11,2,disk
12174,[0.371428571.],8984,117,2,disk
17792,[0.371428571.],13881,112,2,disk
6608,[0.371428571.],4428,82,2,disk
12740,[0.371428571.],8653,53,2,disk
3249,[0.371428571.],2045,87,2,disk
2523,[0.371428571.],1652,137,2,disk
5272,[0.371428571.],3229,164,2,disk
15340,[0.371428571.],10665,179,2,disk
2752,[0.371428571.],1820,150,2,disk
11771,[0.371428571.],7949,162,2,disk
15642,[0.371428571.],12646,115,2,disk
8293,[0.371428571.],6036,199,2,disk
13736,[0.371428571.],9356,77,2,disk
4468,[0.371428571.],3022,179,2,disk
16929,[0.371428571.],12783,2,2,disk
11263,[0.371428571.],7511,167,2,disk
8175,[0.371428571.],5993,74,2,disk
2660,[0.371428571.],1703,90,2,disk
14003,[0.371428571.],9481,24,2,disk
14733,[0.371428571.],9918,37,2,disk
12400,[0.371428571.],8435,189,2,disk
16371,[0.371428571.],11057,160,2,disk
10146,[0.371428571.],6955,85,2,disk
11672,[0.371428571.],7924,49,2,disk
8287,[0.371428571.],6030,26,2,disk
10065,[0.371428571.],7337,29,2,disk
7586,[0.371428571.],5133,118,2,disk
2118,[0.371428571.],1404,34,2,disk
