Token Number,Rates,length,index_in_dataset,occurrence_number,device
1497,[1.],936,69,3,disk
16708,[1.],11366,197,3,disk
25477,[1.],20281,146,2,disk
11810,[1.],7941,185,3,disk
12176,[1.],8986,170,2,disk
3320,[1.],2227,86,3,disk
6043,[1.],3938,183,3,disk
6019,[1.],4751,156,2,disk
0,[],12339,171,3,
18472,[1.],14015,7,2,disk
6031,[1.],4765,102,3,disk
18645,[1.],15408,125,3,disk
0,[],6607,146,3,
9723,[1.],6582,11,3,disk
4468,[1.],3022,179,3,disk
15641,[1.],12646,4,3,disk
16197,[1.],12333,12,2,disk
2054,[1.],1322,129,3,disk
8501,[1.],5696,112,3,disk
5839,[1.],3931,125,3,disk
12575,[1.],9182,184,3,disk
9792,[1.],6733,74,3,disk
10503,[1.],7046,154,3,disk
0,[],1734,98,2,
0,[],9368,22,3,
5288,[1.],3425,138,2,disk
17239,[1.],11695,117,3,disk
17796,[1.],13883,95,2,disk
7146,[1.],4873,120,3,disk
5277,[1.],3234,190,2,disk
12588,[1.],9196,168,3,disk
2686,[1.],1794,1,2,disk
5550,[1.],3760,161,2,disk
17013,[1.],12802,17,2,disk
18473,[1.],14016,157,3,disk
10067,[1.],7341,49,3,disk
15356,[1.],10366,43,2,disk
25469,[1.],20272,123,2,disk
0,[],8984,117,3,
14415,[1.],9891,164,3,disk
6781,[1.],5336,16,2,disk
17781,[1.],13869,136,3,disk
5272,[1.],3229,164,2,disk
12177,[1.],8423,38,3,disk
12562,[1.],8528,133,3,disk
2118,[1.],1404,34,2,disk
17782,[1.],13870,69,2,disk
13066,[1.],10509,82,3,disk
8285,[1.],6026,96,3,disk
10307,[1.],6884,26,3,disk
2978,[1.],2027,136,3,disk
13823,[1.],9352,195,3,disk
12740,[1.],8653,53,2,disk
